State,Imported,Local,Total,Recent 2 Weeks,2025,2026
U.S.,211,3307,3517,190,2213,1304
South Carolina,5,989,994,18,302,692
Texas,1,829,830,27,803,27
Utah,0,358,358,58,156,202
Arizona,4,272,276,7,220,56
Florida,11,121,131,32,7,124
New Mexico,1,105,106,6,100,6
Kansas,0,91,91,0,91,0
North Dakota,6,53,59,6,36,23
Ohio,7,47,54,0,45,9
New York,5,47,52,3,48,4
California,24,27,51,4,25,26
Colorado,14,30,44,7,36,8
Minnesota,14,24,38,7,26,12
Washington,17,21,38,2,12,26
Wisconsin,11,27,38,0,36,2
Montana,7,29,36,0,36,0
Michigan,6,24,30,0,30,0
Pennsylvania,8,20,28,3,16,12
Idaho,2,22,24,1,16,8
North Carolina,5,19,24,1,3,21
South Dakota,18,5,23,1,16,7
Kentucky,3,15,18,0,14,4
Oklahoma,0,18,18,0,17,1
Virginia,2,16,18,3,5,13
Illinois,3,13,16,0,14,2
Wyoming,2,13,15,0,15,0
Georgia,4,8,12,1,10,2
Indiana,1,10,11,0,11,0
New Jersey,4,7,11,0,11,0
Iowa,2,7,9,0,9,0
Arkansas,2,6,8,0,8,0
Tennessee,0,8,8,0,8,0
Missouri,1,6,7,0,7,0
Oregon,1,6,7,1,1,6
Nebraska,2,4,6,0,3,3
Maine,1,4,5,0,0,5
Alaska,3,1,4,0,4,0
Louisiana,2,1,3,0,3,0
Maryland,3,0,3,0,3,0
Vermont,2,1,3,0,2,1
Hawaii,2,0,2,0,2,0
Massachusetts,2,0,2,2,0,2
Nevada,0,2,2,0,2,0
Alabama,1,0,1,0,1,0
Connecticut,0,1,1,0,1,0
District of Columbia,1,0,1,0,1,0
Rhode Island,1,0,1,0,1,0
